name,sub_category_id,
ウェルカムボード,59,
オルゴール,59,
クッション,59,
クッションカバー,59,
スリッパラック,59,
ティッシュボックス,59,
バスケット/かご,59,
フォトフレーム,59,
マガジンラック,59,
モビール,59,
花瓶,59,
灰皿,59,
傘立て,59,
小物入れ,59,
置時計,59,
掛時計/柱時計,59,
鏡(立て掛け式),59,
鏡(壁掛け式),59,
置物,59,
風鈴,59,
植物/観葉植物,59,
その他,59,
正月,60,
成人式,60,
バレンタインデー,60,
ひな祭り,60,
子どもの日,60,
母の日,60,
父の日,60,
サマーギフト/お中元,60,
夏/夏休み,60,
ハロウィン,60,
敬老の日,60,
七五三,60,
お歳暮,60,
クリスマス,60,
冬一般,60,
その他,60,
すべて,61,
文学/小説,62,
人文/社会,62,
ノンフィクション/教養,62,
地図/旅行ガイド,62,
ビジネス/経済,62,
健康/医学,62,
コンピュータ/IT,62,
趣味/スポーツ/実用,62,
住まい/暮らし/子育て,62,
アート/エンタメ,62,
洋書,62,
絵本,62,
参考書,62,
その他,62,
全巻セット,63,
少年漫画,63,
少女漫画,63,
青年漫画,63,
女性漫画,63,
同人誌,63,
その他,63,
アート/エンタメ/ホビー,64,
ファッション,64,
ニュース/総合,64,
趣味/スポーツ,64,
その他,64,
邦楽,65,
洋楽,65,
アニメ,65,
クラシック,65,
K-POP/アジア,65,
キッズ/ファミリー,65,
その他,65,
外国映画,66,
日本映画,66,
アニメ,66,
TVドラマ,66,
ミュージック,66,
お笑い/バラエティ,66,
スポーツ/フィットネス,66,
キッズ/ファミリー,66,
その他,66,
邦楽,67,
洋楽,67,
その他,67,
家庭用ゲーム本体,68,
家庭用ゲームソフト,68,
携帯用ゲーム本体,68,
携帯用ゲームソフト,68,
PCゲーム,68,
その他,68,
キャラクターグッズ,69,
ぬいぐるみ,69,
小物/アクセサリー,69,
模型/プラモデル,69,
ミニカー,69,
トイラジコン,69,
プラモデル,69,
ホビーラジコン,69,
鉄道模型,69,
その他,69,
アイドル,70,
ミュージシャン,70,
タレント/お笑い芸人,70,
スポーツ選手,70,
その他,70,
ストラップ,71,
キーホルダー,71,
バッジ,71,
カード,71,
クリアファイル,71,
ポスター,71,
タオル,71,
その他,71,
遊戯王,72,
マジック：ザ・ギャザリング,72,
バトルスピッツ,72,
プリパラ,72,
アイカツ,72,
カードファイト!! ヴァンガード,72,
ヴァイスシュヴァルツ,72,
プロ野球オーナーズ,72,
ベースボールヒーローズ,72,
ドラゴンボール,72,
スリーブ,72,
その他,72,
コミック/アニメ,73,
特撮,73,
ゲームキャラクター,73,
SF/ファンタジー/ホラー,73,
アメコミ,73,
スポーツ,73,
ミリタリー,73,
その他,73,
エレキギター,74,
アコースティックギター,74,
ベース,74,
エフェクター,74,
アンプ,74,
弦楽器,74,
管楽器,74,
鍵盤楽器,74,
打楽器,74,
和楽器,74,
楽譜/スコア,74,
レコーディング/PA機器,74,
DJ機器,74,
DTM/DAW,74,
その他,74,
武具,75,
使用済み切手/官製はがき,75,
旧貨幣/金貨/銀貨/記念硬貨,75,
印刷物,75,
ノベルティグッズ,75,
その他,75,
トイガン,76,
個人装備,76,
その他,76,
陶芸,77,
ガラス,77,
漆芸,77,
金属工芸,77,
絵画/タペストリ,77,
版画,77,
彫刻/オブジェクト,77,
書,77,
写真,77,
その他,77,
画材,78,
額縁,78,
その他,78,
トランプ/UNO,79,
カルタ/百人一首,79,
ダーツ,79,
ビリヤード,79,
麻雀,79,
パズル/ジグゾーパズル,79,
囲碁/将棋,79,
オセロ/チェス,79,
人生ゲーム,79,
